Query,Percentage,First Execution Time (ms),Average Execution Time (ms),Confidence Interval (95%)
Query 1,100%,10.390520095825195,1.761178970336914,"(1.6066219119942287, 1.9157360286795995)"
Query 2,100%,47.38783836364746,25.953068733215332,"(25.398598204518436, 26.50753926191223)"
Query 3,100%,84.5487117767334,72.82143115997314,"(71.37771837894944, 74.26514394099685)"
Query 4,100%,102.10895538330078,88.17772388458252,"(86.44942300212315, 89.90602476704188)"
Query 1,75%,2.0151138305664062,1.6464614868164062,"(1.4910610093233077, 1.8018619643095048)"
Query 2,75%,36.589860916137695,20.173163414001465,"(19.325254066981156, 21.021072761021774)"
Query 3,75%,50.707101821899414,54.60650444030762,"(53.89706200112033, 55.3159468794949)"
Query 4,75%,68.28427314758301,65.2395486831665,"(64.1059803769314, 66.37311698940161)"
Query 1,50%,1.1408329010009766,1.50665283203125,"(1.3531704901454957, 1.6601351739170043)"
Query 2,50%,24.824142456054688,14.258646965026855,"(13.759486162088722, 14.757807767964989)"
Query 3,50%,39.371490478515625,38.87239456176758,"(37.83181317971797, 39.91297594381719)"
Query 4,50%,40.714263916015625,44.180307388305664,"(43.10599443491775, 45.25462034169358)"
Query 1,25%,1.046895980834961,1.3965034484863281,"(1.2351443998826015, 1.5578624970900548)"
Query 2,25%,14.769792556762695,7.906398773193359,"(7.709129566373961, 8.103667980012757)"
Query 3,25%,24.324655532836914,22.399773597717285,"(21.788098931689774, 23.011448263744796)"
Query 4,25%,25.925874710083008,26.63543701171875,"(25.890607747994594, 27.380266275442906)"
