Query,Percentage,First Execution Time (ms),Average Execution Time (ms),Confidence Interval (95%)
Query 1,100%,50.05669593811035,38.894572257995605,"(36.53205574264022, 41.25708877335099)"
Query 2,100%,14.224529266357422,15.649375915527344,"(14.328051194173637, 16.97070063688105)"
Query 3,100%,41.38755798339844,28.206825256347656,"(27.288241803106427, 29.125408709588886)"
Query 4,100%,48.73204231262207,39.04977798461914,"(37.81159922733728, 40.287956741901)"
Query 1,75%,26.847362518310547,31.798229217529297,"(28.77461757349209, 34.82184086156651)"
Query 2,75%,12.228250503540039,12.17801570892334,"(11.761038509963559, 12.594992907883121)"
Query 3,75%,20.828723907470703,22.59212017059326,"(21.83103118664536, 23.35320915454116)"
Query 4,75%,25.67458152770996,31.114249229431152,"(29.34424185324322, 32.884256605619086)"
Query 1,50%,19.501209259033203,22.343149185180664,"(18.39193191848394, 26.294366451877387)"
Query 2,50%,10.569095611572266,9.665794372558594,"(9.15336445922591, 10.178224285891277)"
Query 3,50%,16.17145538330078,16.079745292663574,"(15.325476426874582, 16.834014158452565)"
Query 4,50%,19.611835479736328,23.62048625946045,"(22.1802802019059, 25.060692317014997)"
Query 1,25%,14.657735824584961,14.549393653869629,"(13.693241011659149, 15.405546296080109)"
Query 2,25%,7.102727890014648,7.61838436126709,"(6.753556606893029, 8.48321211564115)"
Query 3,25%,11.396646499633789,11.249899864196777,"(10.744677612374629, 11.755122116018926)"
Query 4,25%,12.227773666381836,14.449453353881836,"(13.872819908305706, 15.026086799457966)"
